standardized,pEC50
C=CS(=O)(=O)N(CC1=CC=C(OC)C=C1)CC1=CC=C(OC)C=C1,8.013228266
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)=C(C)C2=NC=C(F)C=N2)=NN=C1C1=CN=CC(C)=C1,7.744727495
COC1=CC=C(CN(CC2=CC=C(OC)C=C2)S(=O)(=O)C(C)C(O)C2=NC=C(Cl)C=C2)C=C1,9.318758763
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(OC)C2=NC=C(Cl)C=C2)=NN=C1C1=CN=CC=C1,7.314258261
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(OC)C2=NC=C(Cl)C=C2)=NN=C1C1=CN=CC(C)=C1,9.30980392
COC1=CC=CC(C2=NN=C(NS(=O)(=O)CCC3=NC=C(Br)C=C3)N2C2=C(OC)C=CC=C2OC)=N1,9.096910013
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(C)C=N2)=NN=C1C1=CN=CC=C1,7.602059991
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)CC2=NC=C(F)C=N2)=NN=C1C1=CC=CC(C)=N1,8.26760624
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)CCC2=C(C#N)C=C(F)C=C2)=NN=C1C1=CN=CC(C)=C1,9.075720714
COC1=CC=CC(OC)=C1N1C(C2=CN=CC(C)=C2)=NN(C)C1=NS(=O)(=O)C(C)C(C)C1=NC=C(C)C=N1,6.853871964
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(O)C2=NC(C)=C(Br)C=C2)=NN=C1C1=CN=CC=C1,9.318758763
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)N2C=C(C)C=N2)=NN=C1C1=CN=CC(C)=C1,8.769551079
COC(C1=NC=C(C)C=N1)C(C)S(=O)(=O)NC1=NN=C(C2=CN=CC(C)=C2)N1C1=C(C)C=CC=C1C,7.657577319
COC(C1=NC=C(C)C=N1)C(C)S(=O)(=O)NC1=NN=C(C2=CN=CC(C)=C2)N1C1=C(Cl)C=CC=C1Cl,8.585026652
O=S(=O)(Cl)CCC1=NC=C(F)C=N1,8.22184875
COC(C1=NC=C(C)C=N1)C(C)S(=O)(=O)NC1=NN=C(C2=CN=CC(C)=C2)N1C1=C(F)C=CC=C1F,8.142667504
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(Cl)C=N2)=NN=C1C1=CN=CC(C)=C1,9.769551079
COC1=CC=CC(OC)=C1N1C(NS(=O)(=O)C(C)C(C)C2=NC=C(Cl)C=N2)=NN=C1C1=CN=CC=C1,9.602059991
